Number.of.Bags,altitude_mean_meters,Moisture,Category.One.Defects,Category.Two.Defects,Quakers,Country.of.Origin,Variety,Processing.Method,Color,species,especialidad,prediccion,probabilidad_especialidad
25,190164.0,0.12,0,0,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1,1,1.0
250,1750.0,0.11,0,1,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1,1,0.9580469297711204
275,1500.0,0.1,0,3,0.0,Honduras,Caturra,,Green,arabica,1,1,0.923133457913377
1,40.0,0.0,0,0,0.0,Ecuador,,,Blue-Green,robusta,0,0,0.19358491019123977
250,1750.0,0.0,0,0,0.0,Colombia,Caturra,Natural / Dry,Bluish-Green,arabica,1,1,0.966705634567793
275,,0.12,3,4,0.0,Nicaragua,,Washed / Wet,Green,arabica,1,0,0.03136586060812102
3,1680.0,0.1,0,1,0.0,China,Catimor,Washed / Wet,Green,arabica,1,1,0.917092378616547
10,981.0,0.13,2,7,0.0,Mexico,Typica,Semi-washed / Semi-pulped,,arabica,1,0,0.494680859013104
6,,0.1,0,0,0.0,United States (Hawaii),Hawaiian Kona,Natural / Dry,Bluish-Green,arabica,1,1,0.7018803610148667
10,758.0,0.12,0,0,0.0,Taiwan,Typica,Washed / Wet,Bluish-Green,arabica,1,1,0.7211963569632022
25,,0.0,2,1,0.0,United States (Hawaii),,,,arabica,1,0,0.39268128434573824
125,,0.0,0,5,1.0,Colombia,Caturra,Washed / Wet,Green,arabica,1,1,0.9136622485572137
300,,0.11,0,0,1.0,Brazil,,,Green,arabica,1,1,0.901540781210707
20,1200.0,0.11,0,3,0.0,Taiwan,Typica,Washed / Wet,Green,arabica,1,1,0.6234643843683138
1,,0.0,0,3,0.0,Peru,,,,arabica,1,0,0.47080303980621657
2,1200.0,0.12,0,7,0.0,Indonesia,Java,Washed / Wet,Green,arabica,1,1,0.8202428457321218
275,1400.0,0.1,0,5,0.0,Honduras,Caturra,Natural / Dry,Green,arabica,1,1,0.6662360859808133
150,1900.0,0.11,0,0,0.0,Rwanda,Bourbon,Washed / Wet,Bluish-Green,arabica,1,1,0.8117137608923993
10,1150.0,0.11,0,0,0.0,Mexico,Caturra,Washed / Wet,Green,arabica,1,1,0.7166343438984238
1,1350.0,0.12,0,3,0.0,"Tanzania, United Republic Of",Other,Washed / Wet,Green,arabica,1,1,0.9394530670844948
250,1310.64,0.1,2,5,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1,0,0.2966635108721565
130,3280.0,0.1,2,6,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1,0,0.44298217691336716
6,1200.0,0.12,0,1,0.0,Uganda,,,Green,robusta,1,1,0.9196708656111794
