Country.of.Origin,Harvest.Year,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,altitude_mean_meters,altitude_reportada,humedad_reportada,grupo
Colombia,2016.0,Other,Washed / Wet,7.83,7.67,7.58,7.92,7.67,7.83,10.0,10.0,10.0,8.08,84.58,,0,0.0,Blue-Green,4,1500.0,1,0,2
Colombia,2016.0,Caturra,Washed / Wet,7.92,7.83,7.58,8.0,7.83,7.67,10.0,10.0,10.0,7.75,84.58,,0,1.0,Green,5,,0,0,2
Kenya,2013.0,Peaberry,Washed / Wet,7.83,7.83,7.83,7.75,7.58,7.83,10.0,10.0,10.0,7.92,84.58,0.1,0,0.0,Bluish-Green,2,1800.0,1,1,2
Guatemala,2014.0,Pacas,Washed / Wet,7.75,7.83,7.67,7.92,7.75,7.83,10.0,10.0,10.0,7.83,84.58,0.11,0,0.0,Green,1,1524.0,1,1,2
Guatemala,2014.0,Bourbon,Washed / Wet,8.0,7.92,7.67,7.58,7.58,7.67,10.0,10.0,10.0,8.17,84.58,0.09,0,0.0,Green,0,1219.2,1,1,2
Colombia,2013.0,Caturra,Washed / Wet,7.67,7.67,7.58,7.75,7.58,8.5,10.0,10.0,10.0,7.83,84.58,,0,0.0,Desconocido,0,1550.0,1,0,2
Colombia,2013.0,Caturra,Washed / Wet,7.75,7.75,7.83,7.75,7.58,8.0,10.0,10.0,10.0,7.92,84.58,,0,0.0,Desconocido,5,1750.0,1,0,2
Kenya,2013.0,SL28,Washed / Wet,7.75,7.75,7.75,8.08,7.75,7.75,10.0,10.0,10.0,7.75,84.58,,0,0.0,Green,0,,0,0,2
Colombia,2012.0,Caturra,Washed / Wet,7.67,7.83,7.83,8.0,7.58,7.92,10.0,10.0,10.0,7.75,84.58,,0,0.0,Green,2,1750.0,1,0,2
Costa Rica,2012.0,Bourbon,Semi-washed / Semi-pulped,7.75,7.83,7.75,8.0,7.83,7.67,10.0,10.0,10.0,7.75,84.58,0.12,0,0.0,Bluish-Green,2,1575.0,1,1,2
Colombia,2012.0,Caturra,Washed / Wet,7.42,7.67,7.75,7.75,8.08,7.83,10.0,10.0,10.0,8.08,84.58,0.11,0,0.0,Green,6,1800.0,1,1,2
Brazil,2011.0,Bourbon,Semi-washed / Semi-pulped,8.0,8.0,7.75,7.75,7.58,7.75,10.0,10.0,10.0,7.75,84.58,0.12,0,0.0,Green,2,1300.0,1,1,2
Brazil,2011.0,Catuai,Semi-washed / Semi-pulped,8.5,8.0,7.5,7.75,7.5,7.83,10.0,10.0,10.0,7.5,84.58,0.11,0,0.0,Blue-Green,1,1100.0,1,1,2
Costa Rica,2017.0,Caturra,Washed / Wet,7.92,7.67,7.92,7.75,7.67,7.58,10.0,10.0,10.0,8.0,84.5,0.1,0,0.0,Bluish-Green,2,1200.0,1,1,2
Uganda,2016.0,SL14,Washed / Wet,7.92,7.75,7.67,7.75,7.83,7.75,10.0,10.0,10.0,7.83,84.5,0.11,0,0.0,Green,1,1750.0,1,1,2
China,2015.0,Catimor,Washed / Wet,7.75,7.92,7.67,7.83,7.75,7.67,10.0,10.0,10.0,7.92,84.5,0.1,0,0.0,Green,1,1680.0,1,1,2
Costa Rica,2014.0,Caturra,Washed / Wet,7.92,7.83,7.83,7.83,7.58,7.58,10.0,10.0,10.0,7.92,84.5,0.11,0,0.0,Green,0,1700.0,1,1,2
Colombia,2015.0,Other,Washed / Wet,8.08,7.67,7.83,7.83,7.67,7.67,10.0,10.0,10.0,7.75,84.5,0.12,1,0.0,Green,0,1800.0,1,1,2
China,2013.0,Other,Washed / Wet,7.67,8.0,7.75,7.83,7.75,7.58,10.0,10.0,10.0,7.92,84.5,,0,0.0,Green,2,1100.0,1,0,2
Guatemala,2013.0,Bourbon,Washed / Wet,8.17,7.83,7.67,7.83,7.67,7.83,10.0,10.0,10.0,7.5,84.5,0.11,0,0.0,Green,2,1310.64,1,1,2
Kenya,2012.0,SL28,Washed / Wet,7.92,7.83,7.67,8.0,7.67,7.75,10.0,10.0,10.0,7.67,84.5,0.11,0,0.0,Blue-Green,0,2000.0,1,1,2
Mexico,2012.0,Typica,Washed / Wet,8.0,7.92,7.42,8.08,7.5,7.67,10.0,10.0,10.0,7.92,84.5,0.12,0,0.0,Green,0,1350.0,1,1,2
Mexico,2012.0,Typica,Washed / Wet,7.92,7.83,7.75,7.75,7.75,7.83,10.0,10.0,10.0,7.67,84.5,0.11,0,0.0,Desconocido,4,1500.0,1,1,2
Guatemala,2012.0,Bourbon,Washed / Wet,7.67,8.0,7.67,8.0,7.5,7.83,10.0,10.0,10.0,7.83,84.5,0.11,0,0.0,Green,2,,0,1,2
Brazil,,Desconocido,Desconocido,7.81,7.81,7.88,7.75,7.38,8.25,9.5,10.0,10.0,8.13,84.5,,0,0.0,Desconocido,4,,0,0,2
Brazil,,Desconocido,Desconocido,8.17,7.67,7.75,7.75,7.67,7.75,10.0,10.0,10.0,7.75,84.5,,2,0.0,Desconocido,0,,0,0,2
Costa Rica,2016.0,Caturra,Washed / Wet,7.58,7.83,7.83,8.0,7.67,7.58,10.0,10.0,10.0,7.92,84.42,0.1,0,0.0,Blue-Green,3,1300.0,1,1,2
Indonesia,2017.0,Mandheling,Other,7.67,7.67,7.83,7.58,7.83,7.83,10.0,10.0,10.0,8.0,84.42,,0,0.0,Blue-Green,3,1400.0,1,0,2
Colombia,2015.0,Caturra,Natural / Dry,7.92,7.83,7.75,7.67,7.92,7.67,10.0,10.0,10.0,7.67,84.42,,0,0.0,Green,1,,0,0,2
Colombia,2014.0,Caturra,Washed / Wet,7.92,7.75,7.67,7.92,7.67,7.75,10.0,10.0,10.0,7.75,84.42,,0,0.0,Green,3,1775.0,1,0,2
Taiwan,2012.0,Typica,Washed / Wet,7.83,7.83,7.75,8.0,7.5,7.75,10.0,10.0,10.0,7.75,84.42,0.11,0,0.0,Blue-Green,0,1200.0,1,1,2
United States (Hawaii),2012.0,Hawaiian Kona,Natural / Dry,7.92,7.92,7.5,7.83,7.5,7.92,10.0,10.0,10.0,7.83,84.42,0.11,0,0.0,Blue-Green,1,,0,1,2
Mexico,2012.0,Pacamara,Washed / Wet,7.75,7.92,7.75,7.67,7.83,7.67,10.0,10.0,10.0,7.83,84.42,0.12,2,0.0,Desconocido,4,900.0,1,1,2
Ethiopia,2009.0,Desconocido,Desconocido,7.5,7.75,7.83,7.92,7.92,7.75,10.0,10.0,10.0,7.75,84.42,0.2,0,0.0,Desconocido,2,,0,1,2
Kenya,2017.0,SL28,Washed / Wet,7.33,7.58,7.83,7.75,7.75,7.92,10.0,10.0,10.0,8.17,84.33,0.11,0,0.0,Green,4,1800.0,1,1,2
Honduras,2016.0,Caturra,Desconocido,7.92,8.0,7.75,7.67,7.67,7.75,10.0,10.0,10.0,7.58,84.33,0.1,0,0.0,Green,3,1500.0,1,1,2
Colombia,2016.0,Caturra,Washed / Wet,7.58,7.75,7.5,7.83,7.67,8.5,10.0,10.0,10.0,7.5,84.33,,0,3.0,Green,5,,0,0,2
Honduras,2016.0,Catuai,Washed / Wet,7.58,7.92,7.58,7.75,7.92,7.75,10.0,10.0,10.0,7.83,84.33,0.11,0,1.0,Green,2,1500.0,1,1,2
Colombia,2016.0,Desconocido,Desconocido,7.67,7.67,7.75,7.83,7.75,7.83,10.0,10.0,10.0,7.83,84.33,,0,2.0,Desconocido,4,,0,0,2
Colombia,2015.0,Caturra,Natural / Dry,7.75,7.67,8.0,7.67,8.08,7.83,10.0,10.0,10.0,7.33,84.33,0.11,6,0.0,Green,0,442.0,1,1,2
Colombia,2013.0,Caturra,Washed / Wet,7.75,7.58,7.33,7.83,7.58,8.08,10.0,10.0,10.0,8.17,84.33,,0,0.0,Green,0,1800.0,1,0,2
Mexico,2012.0,Typica,Washed / Wet,8.0,7.75,7.75,7.83,7.5,7.67,10.0,10.0,10.0,7.83,84.33,0.12,0,0.0,Blue-Green,1,1700.0,1,1,2
Brazil,2011.0,Yellow Bourbon,Desconocido,8.17,8.0,7.5,7.75,7.5,7.67,10.0,10.0,10.0,7.75,84.33,,0,0.0,Desconocido,4,1275.0,1,0,2
Brazil,2011.0,Desconocido,Desconocido,8.0,8.0,7.5,7.5,7.67,7.75,10.0,10.0,10.0,7.92,84.33,0.02,0,0.0,Desconocido,2,1050.0,1,1,2
Ethiopia,,Desconocido,Desconocido,7.75,7.75,7.92,7.75,7.5,7.92,10.0,10.0,10.0,7.75,84.33,,0,0.0,Desconocido,1,1493.52,1,0,2
Guatemala,2009.0,Desconocido,Desconocido,7.5,7.67,7.75,7.67,7.92,7.92,10.0,10.0,10.0,7.92,84.33,0.04,1,0.0,Desconocido,1,1386.84,1,1,2
Taiwan,2016.0,Typica,Washed / Wet,7.92,7.75,7.75,7.67,7.67,7.83,10.0,10.0,10.0,7.67,84.25,0.12,0,0.0,Blue-Green,0,1000.0,1,1,2
Thailand,2015.0,Catimor,Natural / Dry,7.83,7.75,7.75,7.42,7.83,7.67,10.0,10.0,10.0,8.0,84.25,0.12,0,0.0,Green,0,1200.0,1,1,2
Colombia,2016.0,Caturra,Natural / Dry,7.83,7.58,7.75,7.58,7.67,8.0,10.0,10.0,10.0,7.83,84.25,0.11,0,0.0,Green,2,2560.0,1,1,2
Guatemala,2016.0,Caturra,Washed / Wet,7.75,7.75,7.58,7.92,7.75,7.75,10.0,10.0,10.0,7.75,84.25,0.11,0,4.0,Green,4,1500.0,1,1,2
Guatemala,2015.0,Caturra,Washed / Wet,7.75,7.92,7.5,8.08,7.58,7.67,10.0,10.0,10.0,7.75,84.25,0.1,0,0.0,Green,1,1099.4136,1,1,2
China,2015.0,Catimor,Natural / Dry,7.83,7.83,7.58,7.75,7.75,7.75,10.0,10.0,10.0,7.75,84.25,0.1,0,0.0,Green,1,1400.0,1,1,2
Colombia,2015.0,Caturra,Washed / Wet,7.67,7.67,7.75,7.75,7.67,7.92,10.0,10.0,10.0,7.83,84.25,0.11,0,0.0,Green,3,1775.0,1,1,2
Colombia,2015.0,Caturra,Washed / Wet,7.83,7.67,7.75,7.58,7.92,7.75,10.0,10.0,10.0,7.75,84.25,0.12,4,0.0,Green,2,1775.0,1,1,2
Colombia,2015.0,Other,Washed / Wet,7.83,7.75,7.83,7.58,7.67,7.75,10.0,10.0,10.0,7.83,84.25,0.12,0,0.0,Green,0,1800.0,1,1,2
Colombia,2015.0,Caturra,Natural / Dry,7.42,7.67,7.83,7.75,7.92,7.83,10.0,10.0,10.0,7.83,84.25,0.12,3,0.0,Green,0,442.0,1,1,2
"Tanzania, United Republic Of",2014.0,Other,Washed / Wet,7.83,7.67,7.75,7.83,7.67,7.67,10.0,10.0,10.0,7.83,84.25,0.12,0,0.0,Green,7,1620.0,1,1,2
"Tanzania, United Republic Of",2014.0,Other,Washed / Wet,7.83,7.75,7.75,7.75,7.67,7.75,10.0,10.0,10.0,7.75,84.25,0.12,0,0.0,Green,2,1600.0,1,1,2
Guatemala,2014.0,Bourbon,Other,7.83,7.83,7.5,7.92,7.58,7.75,10.0,10.0,10.0,7.83,84.25,0.1,0,0.0,Green,1,1219.2,1,1,2
Colombia,2013.0,Caturra,Washed / Wet,7.58,7.5,7.75,7.83,7.92,7.83,10.0,10.0,10.0,7.83,84.25,0.11,0,0.0,Green,2,1700.0,1,1,2
United States (Hawaii),2012.0,Hawaiian Kona,Natural / Dry,7.33,7.92,7.92,7.92,7.92,8.08,10.0,10.0,9.33,7.83,84.25,0.11,1,0.0,Bluish-Green,1,,0,1,2
Mexico,2012.0,Typica,Semi-washed / Semi-pulped,7.83,7.92,7.67,7.83,7.5,7.75,10.0,10.0,10.0,7.75,84.25,0.12,0,0.0,Green,1,1450.0,1,1,2
Mexico,2012.0,Bourbon,Washed / Wet,7.83,7.83,7.75,7.67,7.83,7.58,10.0,10.0,10.0,7.75,84.25,0.12,0,0.0,Green,0,1170.0,1,1,2
Mexico,2012.0,Bourbon,Washed / Wet,7.83,7.92,7.67,7.75,7.5,7.75,10.0,10.0,10.0,7.83,84.25,0.1,0,0.0,Bluish-Green,4,1400.0,1,1,2
Uganda,2012.0,Other,Natural / Dry,8.17,7.75,7.58,7.67,7.83,7.58,10.0,10.0,10.0,7.67,84.25,0.13,4,0.0,Green,29,1700.0,1,1,2
Guatemala,2017.0,Bourbon,Washed / Wet,7.75,7.83,7.58,7.83,7.67,7.75,10.0,10.0,10.0,7.75,84.17,0.13,0,0.0,Green,1,1700.0,1,1,2
Colombia,2016.0,Caturra,Washed / Wet,7.83,7.75,7.58,7.67,7.75,7.83,10.0,10.0,10.0,7.75,84.17,,0,0.0,Green,2,,0,0,2
Costa Rica,2016.0,Caturra,Washed / Wet,7.92,7.75,7.67,7.67,7.5,7.67,10.0,10.0,10.0,8.0,84.17,0.09,0,0.0,Bluish-Green,2,1700.0,1,1,2
Guatemala,2016.0,Caturra,Washed / Wet,7.75,7.75,7.58,8.0,7.67,7.83,10.0,10.0,10.0,7.58,84.17,0.11,0,0.0,Green,6,1116.7872,1,1,2
Guatemala,2016.0,Caturra,Washed / Wet,7.75,7.92,7.58,7.92,7.67,7.67,10.0,10.0,10.0,7.67,84.17,0.1,0,1.0,Green,10,1565.0,1,1,2
Guatemala,2016.0,Bourbon,Washed / Wet,7.58,7.83,7.58,7.83,7.83,7.67,10.0,10.0,10.0,7.83,84.17,0.1,0,0.0,Green,2,,0,1,2
Colombia,2015.0,Caturra,Washed / Wet,8.0,7.5,7.5,7.67,8.0,7.83,10.0,10.0,10.0,7.67,84.17,,0,0.0,Bluish-Green,0,1775.0,1,0,2
Nicaragua,2015.0,Caturra,Natural / Dry,7.67,7.83,7.83,7.5,7.67,7.83,10.0,10.0,10.0,7.83,84.17,0.12,0,0.0,Bluish-Green,0,1000.0,1,1,2
Brazil,2015.0,Catuai,Natural / Dry,7.67,7.75,7.75,7.67,7.83,7.75,10.0,10.0,10.0,7.75,84.17,,0,0.0,Desconocido,16,1150.0,1,0,2
Costa Rica,2014.0,Caturra,Washed / Wet,7.67,7.75,7.67,7.75,7.5,8.0,10.0,10.0,10.0,7.83,84.17,,0,0.0,Blue-Green,0,1850.0,1,0,2
Ethiopia,2014.0,Gesha,Natural / Dry,7.5,7.92,7.58,7.83,7.75,7.83,10.0,10.0,10.0,7.75,84.17,0.1,0,0.0,Green,5,1606.5,1,1,2
"Tanzania, United Republic Of",2014.0,Other,Washed / Wet,7.92,7.75,7.75,7.75,7.75,7.58,10.0,10.0,10.0,7.67,84.17,0.13,0,0.0,Green,0,1400.0,1,1,2
Colombia,2014.0,Other,Washed / Wet,7.67,7.5,7.67,7.42,7.83,8.58,10.0,10.0,10.0,7.5,84.17,0.12,0,0.0,Green,4,1530.0,1,1,2
Guatemala,2013.0,Desconocido,Washed / Wet,7.67,7.75,7.67,7.75,7.75,7.75,10.0,10.0,10.0,7.83,84.17,0.11,0,0.0,Bluish-Green,0,,0,1,2
Kenya,2013.0,SL28,Washed / Wet,7.58,7.75,7.75,7.75,7.75,7.83,10.0,10.0,10.0,7.75,84.17,0.08,0,0.0,Green,0,250.5,1,1,2
Brazil,2012.0,Mundo Novo,Natural / Dry,7.58,7.83,7.75,7.67,7.67,8.0,10.0,10.0,10.0,7.67,84.17,0.11,0,0.0,Green,3,1038.5,1,1,2
Guatemala,2013.0,Bourbon,Washed / Wet,7.92,7.75,7.67,7.67,7.83,7.92,10.0,10.0,10.0,7.42,84.17,0.11,0,0.0,Green,4,1310.64,1,1,2
El Salvador,2013.0,Bourbon,Natural / Dry,8.42,8.08,7.5,7.17,7.58,8.17,9.33,10.0,10.0,7.92,84.17,0.11,0,0.0,Bluish-Green,2,1500.0,1,1,2
Colombia,2012.0,Caturra,Washed / Wet,7.75,7.75,7.75,7.75,7.83,7.75,10.0,10.0,10.0,7.58,84.17,,0,0.0,Green,2,1750.0,1,0,2
Guatemala,2012.0,Catuai,Natural / Dry,7.83,7.5,7.5,8.0,7.83,7.83,10.0,10.0,10.0,7.67,84.17,0.11,0,0.0,Bluish-Green,2,,0,1,2
Uganda,2012.0,Other,Washed / Wet,7.83,7.75,7.5,7.83,7.83,7.75,10.0,10.0,10.0,7.67,84.17,0.11,0,0.0,Green,1,1600.0,1,1,2
Indonesia,2017.0,Mandheling,Natural / Dry,7.81,7.88,7.56,7.75,7.63,7.75,10.0,10.0,10.0,7.75,84.13,0.12,0,0.0,Bluish-Green,0,,0,1,2
Colombia,2017.0,Caturra,Washed / Wet,7.83,7.5,7.42,7.5,7.83,8.5,10.0,10.0,10.0,7.5,84.08,,1,3.0,Green,3,442.0,1,0,2
Taiwan,2016.0,Typica,Washed / Wet,7.58,7.67,7.67,7.67,7.75,7.83,10.0,10.0,10.0,7.92,84.08,0.1,0,0.0,Bluish-Green,4,968.0,1,1,2
Guatemala,2016.0,Bourbon,Washed / Wet,8.0,7.75,7.5,7.58,7.92,7.67,10.0,10.0,10.0,7.67,84.08,0.1,0,0.0,Green,4,,0,1,2
Colombia,2014.0,Caturra,Washed / Wet,7.92,7.75,7.67,7.75,7.67,7.67,10.0,10.0,10.0,7.67,84.08,,0,0.0,Desconocido,2,1775.0,1,0,2
Guatemala,2014.0,Bourbon,Washed / Wet,7.58,7.75,7.67,8.0,7.75,7.67,10.0,10.0,10.0,7.67,84.08,0.1,0,0.0,Bluish-Green,10,1550.0,1,1,2
United States (Hawaii),2012.0,Hawaiian Kona,Natural / Dry,7.83,7.75,7.83,7.83,7.42,8.08,9.33,10.0,10.0,8.0,84.08,0.11,1,0.0,Green,9,,0,1,2
Mexico,2012.0,Typica,Washed / Wet,7.67,7.75,7.67,7.75,7.67,7.75,10.0,10.0,10.0,7.83,84.08,0.11,1,0.0,Green,10,1480.0,1,1,2
Ethiopia,2012.0,Other,Natural / Dry,7.92,7.92,7.83,8.0,7.92,7.92,10.0,10.0,8.67,7.92,84.08,0.09,0,0.0,Desconocido,15,1800.0,1,1,2
Costa Rica,2017.0,Desconocido,Washed / Wet,7.58,7.75,7.67,7.75,7.83,7.75,10.0,10.0,10.0,7.67,84.0,0.08,1,2.0,Desconocido,13,,0,1,2
Ethiopia,2017.0,Gesha,Natural / Dry,7.83,7.75,7.67,7.75,7.33,7.75,10.0,10.0,10.0,7.92,84.0,0.11,3,11.0,Green,1,1800.0,1,1,2
Honduras,2017.0,Caturra,Washed / Wet,7.42,7.83,7.75,7.92,7.75,7.58,10.0,10.0,10.0,7.75,84.0,0.1,0,0.0,Green,5,1500.0,1,1,2
Guatemala,2015.0,Caturra,Washed / Wet,7.67,7.83,7.58,7.92,7.75,7.67,10.0,10.0,10.0,7.58,84.0,0.12,0,0.0,Green,7,1706.88,1,1,2
Colombia,2014.0,Other,Washed / Wet,7.67,7.67,7.83,7.58,7.58,7.83,10.0,10.0,10.0,7.83,84.0,0.11,2,0.0,Green,7,1600.0,1,1,2
Guatemala,2014.0,Bourbon,Natural / Dry,7.92,7.67,7.42,7.92,7.75,7.83,10.0,10.0,10.0,7.5,84.0,0.1,0,0.0,Green,1,1219.2,1,1,2
Guatemala,2014.0,Bourbon,Other,7.75,7.83,7.5,7.83,7.58,7.67,10.0,10.0,10.0,7.83,84.0,0.1,0,0.0,Green,0,1219.2,1,1,2
Colombia,2014.0,Desconocido,Washed / Wet,7.67,7.75,7.67,7.67,7.67,7.75,10.0,10.0,10.0,7.83,84.0,0.12,0,0.0,Green,0,1480.0,1,1,2
Colombia,2014.0,Caturra,Natural / Dry,7.58,7.42,7.75,7.92,7.75,7.92,10.0,10.0,10.0,7.67,84.0,0.12,0,0.0,Green,0,1450.0,1,1,2
Colombia,2014.0,Caturra,Washed / Wet,7.67,7.67,7.5,7.5,7.67,7.67,10.0,10.0,10.0,8.33,84.0,0.12,0,0.0,Green,3,1775.0,1,1,0
Ethiopia,2013.0,Other,Natural / Dry,7.75,7.75,7.5,7.58,7.67,7.92,10.0,10.0,10.0,7.83,84.0,0.09,4,0.0,Green,40,1550.0,1,1,2
Brazil,2013.0,Yellow Bourbon,Natural / Dry,7.58,7.83,7.67,7.25,8.0,7.75,10.0,10.0,10.0,7.92,84.0,0.1,0,0.0,Green,0,1260.0,1,1,2
Colombia,2013.0,Caturra,Washed / Wet,7.67,7.83,7.67,7.75,7.67,7.75,10.0,10.0,10.0,7.67,84.0,0.11,0,0.0,Green,1,1700.0,1,1,2
Kenya,2012.0,SL34,Washed / Wet,7.67,7.83,7.5,7.75,7.92,7.67,10.0,10.0,10.0,7.67,84.0,,0,0.0,Green,2,1200.0,1,0,2
Thailand,2012.0,Other,Washed / Wet,7.92,8.17,8.17,8.42,8.08,8.17,8.67,8.67,9.33,8.42,84.0,0.12,0,0.0,Green,0,,0,1,2
Kenya,2012.0,SL28,Washed / Wet,7.67,7.75,7.67,7.75,7.83,7.67,10.0,10.0,10.0,7.67,84.0,,0,0.0,Bluish-Green,0,1650.0,1,0,2
Uganda,2012.0,Other,Washed / Wet,7.92,7.75,7.58,7.67,7.67,7.83,10.0,10.0,10.0,7.58,84.0,0.1,10,0.0,Green,26,1700.0,1,1,2
Thailand,2011.0,Desconocido,Desconocido,7.58,7.75,7.58,7.75,7.58,7.75,10.0,10.0,10.0,8.0,84.0,0.06,0,0.0,Desconocido,0,,0,1,2
Brazil,2017.0,Bourbon,Natural / Dry,7.5,7.75,7.58,7.5,7.58,7.5,10.0,10.0,10.0,8.5,83.92,,0,0.0,Green,3,890.0,1,0,0
Mexico,2017.0,Mundo Novo,Washed / Wet,7.83,7.83,7.58,7.92,7.42,7.5,10.0,10.0,10.0,7.83,83.92,0.11,0,0.0,Green,5,1300.0,1,1,0
Thailand,2015.0,Catimor,Natural / Dry,7.67,7.75,7.5,7.67,7.67,7.83,10.0,10.0,10.0,7.83,83.92,0.1,0,0.0,Bluish-Green,1,1350.0,1,1,2
Brazil,2016.0,Bourbon,Natural / Dry,7.58,7.67,7.67,7.75,7.58,7.83,10.0,10.0,10.0,7.83,83.92,0.11,0,2.0,Green,7,934.0,1,1,2
Taiwan,2015.0,Typica,Washed / Wet,7.83,7.75,7.83,7.75,7.83,7.75,9.33,10.0,10.0,7.83,83.92,0.11,0,0.0,Green,3,1200.0,1,1,2
Colombia,2016.0,Desconocido,Desconocido,7.75,7.67,7.5,7.75,7.83,7.75,10.0,10.0,10.0,7.67,83.92,0.11,1,0.0,Green,2,442.0,1,1,2
Colombia,2016.0,Desconocido,Desconocido,7.75,7.58,7.5,7.83,7.75,7.92,10.0,10.0,10.0,7.58,83.92,,1,3.0,Desconocido,5,,0,0,2
Taiwan,2014.0,Desconocido,Natural / Dry,7.75,7.75,7.58,7.75,7.75,7.67,10.0,10.0,10.0,7.67,83.92,,0,0.0,Blue-Green,0,,0,0,2
Colombia,2015.0,Desconocido,Washed / Wet,7.92,7.67,7.5,7.83,7.58,7.67,10.0,10.0,10.0,7.75,83.92,,0,0.0,Desconocido,0,,0,0,2
Colombia,2014.0,Desconocido,Washed / Wet,7.83,7.75,7.58,7.58,7.75,7.75,10.0,10.0,10.0,7.67,83.92,,1,0.0,Desconocido,1,,0,0,2
Colombia,2014.0,Caturra,Washed / Wet,7.75,7.58,7.67,7.83,7.83,7.67,10.0,10.0,10.0,7.58,83.92,,0,0.0,Green,1,1775.0,1,0,2
Taiwan,2014.0,Typica,Washed / Wet,8.0,7.92,7.92,7.92,7.67,7.33,10.0,10.0,10.0,7.17,83.92,0.06,0,0.0,Green,0,950.0,1,1,2
Colombia,2014.0,Caturra,Natural / Dry,7.67,7.83,7.67,7.75,7.67,7.83,10.0,10.0,10.0,7.5,83.92,0.12,0,0.0,Green,3,1550.0,1,1,2
Mexico,2012.0,Typica,Washed / Wet,7.67,7.75,7.58,7.67,7.75,7.83,10.0,10.0,10.0,7.67,83.92,0.12,10,0.0,Blue-Green,32,900.0,1,1,2
Mexico,2012.0,Typica,Washed / Wet,7.5,7.67,7.58,7.83,7.75,7.75,10.0,10.0,10.0,7.83,83.92,0.11,0,0.0,Desconocido,2,1500.0,1,1,2
Mexico,2012.0,Typica,Washed / Wet,7.75,7.92,7.83,7.92,7.75,7.67,9.33,10.0,10.0,7.75,83.92,,0,0.0,Green,2,1400.0,1,0,2
Colombia,2017.0,Caturra,Washed / Wet,7.92,7.58,7.5,7.83,7.58,7.67,10.0,10.0,10.0,7.75,83.83,,1,0.0,Green,6,2527.0,1,0,0
Colombia,2016.0,Caturra,Desconocido,7.83,7.67,7.5,7.75,7.75,7.75,10.0,10.0,10.0,7.58,83.83,,1,2.0,Green,0,,0,0,0
Costa Rica,2015.0,Caturra,Washed / Wet,7.67,7.67,7.75,7.67,7.5,7.75,10.0,10.0,10.0,7.83,83.83,,0,0.0,Blue-Green,0,1850.0,1,0,0
Guatemala,2016.0,Bourbon,Washed / Wet,7.75,7.75,7.5,7.75,7.83,7.58,10.0,10.0,10.0,7.67,83.83,0.11,0,7.0,Green,6,1500.0,1,1,0
Taiwan,2016.0,Desconocido,Desconocido,7.75,7.67,7.5,7.75,7.75,7.67,10.0,10.0,10.0,7.75,83.83,,0,0.0,Desconocido,0,1200.0,1,0,0
Brazil,2015.0,Yellow Bourbon,Natural / Dry,7.25,7.58,7.42,8.0,7.75,7.83,10.0,10.0,10.0,8.0,83.83,,0,0.0,Green,0,,0,0,0
Taiwan,2014.0,Typica,Washed / Wet,7.67,7.75,7.67,7.75,7.42,7.75,10.0,10.0,10.0,7.83,83.83,,0,0.0,Green,1,525.0,1,0,0
Ethiopia,2014.0,Desconocido,Natural / Dry,7.75,7.75,7.67,7.67,7.58,7.67,10.0,10.0,10.0,7.75,83.83,0.12,0,0.0,Green,4,1676.5,1,1,0
Brazil,2014.0,Bourbon,Semi-washed / Semi-pulped,7.67,7.67,7.58,7.5,7.83,8.17,10.0,10.0,9.33,8.08,83.83,,0,0.0,Green,1,1200.0,1,0,2
Costa Rica,2013.0,Catuai,Washed / Wet,7.83,7.42,7.5,7.83,7.75,7.83,10.0,10.0,10.0,7.67,83.83,0.1,0,0.0,Green,3,1300.0,1,1,0
Guatemala,2014.0,Bourbon,Washed / Wet,7.58,7.83,7.33,8.0,7.58,7.75,10.0,10.0,10.0,7.75,83.83,0.1,0,0.0,Green,1,1219.2,1,1,0
Brazil,2013.0,Yellow Bourbon,Natural / Dry,7.92,7.5,7.33,7.67,8.17,7.5,10.0,10.0,10.0,7.75,83.83,0.1,0,0.0,Green,0,1260.0,1,1,2
Ecuador,2013.0,Desconocido,Natural / Dry,7.5,7.67,7.58,7.75,7.83,7.83,10.0,10.0,10.0,7.67,83.83,0.09,0,0.0,Bluish-Green,0,800.0,1,1,0
Colombia,2013.0,Caturra,Washed / Wet,7.67,7.58,7.58,7.83,7.58,7.67,10.0,10.0,10.0,7.92,83.83,0.11,0,0.0,Green,1,1750.0,1,1,0
Guatemala,2013.0,Bourbon,Washed / Wet,7.5,7.83,7.5,7.83,7.83,7.67,10.0,10.0,10.0,7.67,83.83,0.11,0,0.0,Green,3,1310.64,1,1,2
Mexico,2012.0,Bourbon,Natural / Dry,7.67,8.0,7.67,7.42,7.67,7.5,10.0,10.0,10.0,7.92,83.83,0.1,0,0.0,Green,2,1218.0,1,1,0
Mexico,2012.0,Pacas,Natural / Dry,7.67,7.58,7.5,7.75,7.75,7.75,10.0,10.0,10.0,7.83,83.83,0.11,0,0.0,Desconocido,4,1300.0,1,1,0
Brazil,2011.0,Yellow Bourbon,Semi-washed / Semi-pulped,7.83,7.83,7.58,7.67,7.5,7.58,10.0,10.0,10.0,7.83,83.83,0.12,0,0.0,Green,3,1250.0,1,1,0
